source,destination,travel_time
France,Italy,1
France,England,2
France,Vietnam,12
France,Chicago,9
France,Brazil,12
France,Egypt,4
France,Australia,24
Italy,England,3
Italy,Vietnam,11
Italy,Chicago,9
Italy,Brazil,12
Italy,Egypt,3
Italy,Australia,17
England,Vietnam,12
England,Chicago,11
England,Brazil,12
England,Egypt,5
England,Australia,21
Vietnam,Chicago,21
Vietnam,Brazil,21
Vietnam,Egypt,17
Vietnam,Australia,6
Chicago,Brazil,13
Chicago,Egypt,13
Chicago,Australia,21
Brazil,Egypt,17
Brazil,Australia,21
Egypt,Australia,19